branch,conflict,country,"date,end","date,start",person,source
Navy,World War I,US,,,_subject,Y1938/1001
Army,World War I,US,,,_subject,Y1943/1001
Army,World War II,US,,,_subject,Y1944/1001
Navy,World War I,US,,,_subject,Y1947/1001
,World War I,US,,,_subject,Y1953/1001
Navy,World War I,US,,,_subject,Y1954/1002
,Korean War,US,,,_subject,Y1955/1001
Army,World War II,US,,,_subject,Y1958/1004
Army,World War II,US,,,_subject,Y1961/1003
Army,World War II,US,,,_subject,Y1964/1002
Army,World War I # from 1918-10-21 to ?,US,,,_subject,Y1965/1001
Army,World War I,US,,,_subject,Y1967/1004
Navy,World War II,US,,,_subject,Y1974/1001
Navy,World War II,US,,,_subject,Y1974/1002
Navy,World War II,US,,,_subject,Y1976/1001
,World War II,US,,,_subject,Y1976/1002
,World War II,US,,,_subject,Y1977/1005
Army,World War II,US,,,_subject,Y1979/1001
,World War I,US,,,_subject,Y1979/1002
Army,World War II,US,,,_subject,Y1980/1001
Navy,World War II,US,,,_subject,Y1982/1001
Army,World War II,US,,,_subject,Y1984/1002
Marines,World War II,US,,,_subject,Y1985/1001
Navy,World War II,US,,,_subject,Y1985/1002
Army,World War II,US,,,_subject,Y1985/1003
Army,World War II,US,,,_subject,Y1986/1003
Army,World War II,US,,,_subject,Y1987/1001
Army,World War II,US,,,_subject,Y1993/1005
Navy,World War I,US,,,_subject,Y1993/1006
Navy,World War II,US,,,_subject,Y1994/1003
Army,World War II,US,,,_subject,Y1994/1004
Army,,US,,,_subject,Y1994/1006
Army,World War II,US,,,_subject,Y1994/1007
Navy,World War II,US,,,_subject,Y1994/1010
Army,World War II,US,,,_subject,Y1995/1001
Coast Guard,World War II,US,,,_subject,Y1995/1003
Navy,Korean War # from 1952-09-23 to,US,,,_subject,Y1995/1005
Navy,World War II # from 1944-07-01,US,,,_subject,Y1995/1006
Army,World War II # from 1944-12-18 to 1946-08-24,US,,,_subject,Y1995/1008
Navy,World War II # from 1943-02-18 to 1946-01-17,US,,,_subject,Y1995/1009
Army,World War II,US,,,_subject,Y1996/1001
Army,World War II # from 1942-08-01 to 1945-10-25,US,,,_subject,Y1996/1002
Army,World War II,US,,,_subject,Y1996/1004
Army,World War II # from 1943-05-29 to 1946-02-23,US,,,_subject,Y1996/1005
Marines,Korean War,US,,,_subject,Y1996/1009
Navy,World War II,US,,,_subject,Y1996/1010
Army,World War II # from 1941-05-21 to ?,US,,,_subject,Y1997/1001
Marines,Korean War,US,,,_subject,Y1997/1002
